,brand,model,full_title,engine_displacement_cm3,power_hp,ad_description,price_eur,mileage_km,fuel_type,production_year
2050,Audi,A6,Audi A6 Avant 3.0 TDI DPF clean diesel quattro S tronic,,,,12999.0,27000.0,Diesel,2013.0
2051,Renault,Megane,Renault Megane TCE GPF Zen,1333.0,116.0,Berlina ~ Benzina 140 CP ~Posibilitate vanzare si in RATE ~ Credit TVA,10990.01,161600.0,Benzina,2020.0
2052,Volkswagen,ARTEON,Volkswagen ARTEON Shooting Brake 1.4 eHybrid OPF DSG R-Line,1395.0,218.0,VW Arteon SB 1.4 eHybrid 2021,29900.31,87267.0,Hibrid Plug-In,2021.0
2053,Volkswagen,Passat,Volkswagen Passat Variant 2.0 TDI DSG (BlueMotion Technology) Comfortline,1968.0,150.0,2.0 TDI Automat DSG ~ Posibilitate vanzare si in RATE ~ Credit TVA 19%,13990.0,196000.0,Diesel,2019.0
2054,Volvo,XC 90,Volvo XC 90 D5 AWD Geartronic Momentum,,,,19500.0,203000.0,Diesel,2017.0
2055,Mercedes-Benz,E,Mercedes-Benz E 220 d 4Matic 9G-TRONIC Avantgarde,1950.0,194.0,Primul proprietar,21900.0,185000.0,Diesel,2017.0
2056,BMW,Seria 5,BMW Seria 5 518d AT,1995.0,150.0,M-Sport/Led/Cockpit/Camera/Alcantara/TVA/Leasing-Rate FARA AVANS,22950.0,243500.0,Diesel,2019.0
2057,Mercedes-Benz,E,Mercedes-Benz E 220 d Coupe Aut.,1950.0,194.0,Mercedes Benz E220 AMG Motor: 2.0d 194cp,29639.0,169600.0,Diesel,2018.0
2058,Volvo,S40,Volvo S40 1.6D DPF DRIVe,1560.0,109.0,Primul proprietar din Romania,4000.0,252000.0,Diesel,2009.0
2059,Peugeot,3008,Peugeot 3008,1598.0,200.0,300 CP 4x4 GT Pack Panoramic Masaj Focal Camere 360,23500.0,123700.0,Hibrid Plug-In,2021.0
2060,BMW,Seria 3,BMW Seria 3 320d xDrive AT,1995.0,190.0,BMW 320D xDrive Laser Hibrid 24793 + tva,28850.03,100000.0,Diesel,2021.0
2061,BMW,Seria 3,BMW Seria 3,1596.0,99.0,BMW 316I E30,20500.0,246470.0,Benzina,1988.0
2062,Mercedes-Benz,EQA,Mercedes-Benz EQA 250+,,,,48197.93,3215.0,Electric,2025.0
2063,Dacia,Duster,Dacia Duster,1461.0,109.0,Auto foarte bine intretinut,13915.0,63468.0,Diesel,2017.0
2064,Mercedes-Benz,GLS,Mercedes-Benz GLS 400 d 4Matic 9G-TRONIC,2925.0,330.0,GLS 400 d 4Matic AMG Line+Night+Memory+Distronic+MBUX+Head-up,82267.9,56000.0,Diesel,2020.0
2065,Skoda,Kodiaq,Skoda Kodiaq 1.5 TSI DSG Style,1498.0,150.0,150 CP DSG | Keyless | Crystal LED | Carplay | Memorii,28798.0,73439.0,Benzina,2022.0
2066,BMW,Seria 8,BMW Seria 8 840i Gran Coupe,2998.0,340.0,"Posibilitate rate,leasing persoane juridice,fizice avans 0 30%",47790.16,192000.0,Benzina,2020.0
2067,Opel,Corsa,Opel Corsa 1.4 ECOTEC Aut. Active,,,,8300.0,97923.0,Benzina,2019.0
2068,Porsche,911,Porsche 911 Carrera PDK,,,,82990.0,66982.0,Benzina,2018.0
2069,BMW,Seria 3,BMW Seria 3,1995.0,224.0,BMW 320D F34 GT MPerformance,16500.0,240000.0,Diesel,2016.0
2070,Volkswagen,Golf,Volkswagen Golf 1.9 TDI Comfortline,,,,2950.0,267000.0,Diesel,2006.0
2071,Mercedes-Benz,C,Mercedes-Benz C 300 e 9G-TRONIC,1999.0,204.0,Primul Propietar/ full istoric,39000.0,28174.0,Hibrid Plug-In,2022.0
2072,Volkswagen,Golf,Volkswagen Golf,1598.0,110.0,"VW Golf 6 an 2011 motor 1,6 tdi euro5 pos rate si transport gratuit",3999.0,231657.0,Diesel,2011.0
2073,Honda,CR-V,Honda CR-V 2.0 e:HEV 4x2 E-CVT Executive,1993.0,148.0,"Primul proprietar, stare perfectă, 40000 euro negociabil",40000.0,320.0,Benzina,2025.0
2074,Volkswagen,ARTEON,Volkswagen ARTEON 1.4 eHybrid OPF DSG R-Line,1395.0,218.0,VW Arteon 1.4 eHybrid,29900.31,102727.0,Hibrid Plug-In,2022.0
2075,Seat,Arona,Seat Arona 1.0 TSI Xcellence,999.0,110.0,Benzina ~95 CP ~ Posibilitate vanzare si in RATE ~ Credit Leasing TVA~,12390.0,100000.0,Benzina,2021.0
2076,Opel,Astra,Opel Astra 1.6 D Automatik Start/Stop Business,1598.0,136.0,Opel Astra 1.6Cdti Aut. // Vindem in Rate Avans Zero cu Buletinul //,6999.0,239400.0,Diesel,2017.0
2077,Audi,A3,Audi A3,1968.0,116.0,Sedan ~ Berlina ~ Stare NOUA ! ~ Posibilitate vanzare si in RATE ~ TVA,29990.0,21900.0,Diesel,2024.0
2078,Audi,Q8,Audi Q8 3.0 50 TDI quattro Tiptronic MHEV,2967.0,285.0,"primul proprietar, stare excelenta",53300.0,136000.0,Diesel,2020.0
2079,Opel,Astra,Opel Astra Classic 1.4i,1364.0,90.0,Primul proprietar - luata de noua,2200.0,87700.0,Benzina,2007.0
2080,Volkswagen,Passat,Volkswagen Passat Variant 2.0 TDI DPF DSG R-Line Edition Plus,1968.0,170.0,"Vw Passat R-Line 2.0 Tdi 170 cp 2010 Euro 5 Trapa, Interior CC",5990.0,268000.0,Diesel,2010.0
2081,Peugeot,5008,Peugeot 5008 1.5 BlueHDI s&s Allure,1499.0,130.0,GARANTIE 1 an!TVA deductibil 7 locuri allure posib RATE/Leasing/credit,15999.83,218000.0,Diesel,2021.0
2082,Audi,A4,Audi A4,1968.0,143.0,Audi a 4 model b8 motor 2L diesel euro 5 cu cutie automata,5500.0,192000.0,Diesel,2010.0
2083,Skoda,Octavia,Skoda Octavia,,,,28490.0,31300.0,Diesel,2024.0
2084,Skoda,Kamiq,Skoda Kamiq 1.0 TSI DSG Monte Carlo,999.0,110.0,"Primul proprietar în ro. Consum mic, taxe mici și destul de puternică",14999.0,126000.0,Benzina,2021.0
2085,Audi,A1,Audi A1,,,,23500.0,34419.0,Benzina,2022.0
2086,BMW,Seria 3,BMW Seria 3,1995.0,190.0,BMW 320d xDrive MHEV - 2022 - Primul Proprietar,28928.15,99860.0,Hibrid,2021.0
2087,Volkswagen,Tiguan,Volkswagen Tiguan 2.0 TDI 4Mot DSG Highline,1968.0,190.0,GARANȚIE 2 ANI inclusă în preț – Posibilitate CREDIT/LEASING,19950.0,174447.0,Diesel,2017.0
2088,Volvo,XC 60,Volvo XC 60 B4 D AWD Geartronic Momentum Pro,1969.0,197.0,Garantie 12 luni / Posibilitate Garantie Extinsa / Rate / Credit Auto,26980.0,179000.0,Diesel,2019.0
2089,Volkswagen,Tiguan,Volkswagen Tiguan,,,,30590.0,132400.0,Diesel,2021.0
2090,Toyota,Proace,"Toyota Proace 2,0-l-D-4D L1 (9-Si.) Comfort",1997.0,150.0,Toyota Proace Verso/9 locuri/Head Up/Inc sc,14250.0,272800.0,Diesel,2017.0
2091,BMW,X4,BMW X4 xDrive20d Aut. Advantage,1995.0,190.0,BMW X4 XDRIVE 20D BUSINESS ADVANTAGE/Posibilitate finantare,27499.0,245800.0,Diesel,2021.0
2092,Mercedes-Benz,GLA,Mercedes-Benz GLA,1332.0,163.0,Mercedes-Benz GLA 250 e,47177.9,12474.0,Hibrid Plug-In,2024.0
2093,Mercedes-Benz,C,Mercedes-Benz C 180 9G-TRONIC AMG Line,,,,41900.0,6320.0,Benzina,2022.0
2094,Skoda,Octavia,Skoda Octavia,,,,26090.0,26700.0,Diesel,2023.0
2095,Toyota,BZ4X,Toyota BZ4X,,,,26500.0,16052.0,Electric,2022.0
2096,Volkswagen,Touran,Volkswagen Touran 2.0 TDI Comfortline,1968.0,140.0,"Livrare gratis, Garantie 12 luni, Test drive",6699.0,269950.0,Diesel,2009.0
2097,Dacia,Duster,Dacia Duster 1.5 Blue dCi 4WD Essential,1461.0,115.0,Duster 4x4 - Rate Avans 0 - Garantie 12 Luni - IMPECABILA,12990.0,190000.0,Diesel,2021.0
2098,Ford,Kuga,Ford Kuga 2.0 TDCi 4WD Powershift Titanium,1997.0,150.0,LED/Titanium/Lane assist/Led/Navi/Camera/Leasing - Rate FARA AVANS,12949.42,239000.0,Diesel,2019.0
2099,Hyundai,IONIQ,Hyundai IONIQ Hybrid 1.6 GDI Style,1580.0,141.0,"Hyundai Ioniq 1,6 GDI Hybrid",17755.0,106876.0,Hibrid,2021.0
2100,Mercedes-Benz,A,Mercedes-Benz A 250 e 8G-DCT AMG Line,1332.0,218.0,Mercedes-Benz A 250 e 2021,30900.98,43808.0,Hibrid Plug-In,2021.0
2101,Mercedes-Benz,G,Mercedes-Benz G 400 d SW Long,2925.0,330.0,Mercedes-Benz G400,149000.01,15300.0,Diesel,2023.0
2102,Audi,A3,Audi A3,1968.0,140.0,Audi a3 motor 2l diezel recent adus in stare impecabila,3100.0,243000.0,Diesel,2007.0
2103,Renault,Kadjar,Renault Kadjar 1.6 DCI 4X4 Intens,1598.0,130.0,4x4 /Faruri LED /Piele+Textil /Navigatie,11190.0,178000.0,Diesel,2015.0
2104,Renault,Kadjar,Renault Kadjar BLUE dCi 115 BUSINESS EDITION,1461.0,115.0,Facelift 1.5 DCi 115 Cp //Euro 6 /‼️ RATE FIXE‼️,12990.0,189520.0,Diesel,2020.0
2105,Mercedes-Benz,S,Mercedes-Benz S AMG 63 E Performance Long,,,,184042.02,70000.0,Hibrid Plug-In,2023.0
2106,Skoda,Fabia,Skoda Fabia 1.6 TDI DPF Combi Ambiente,1598.0,105.0,Skoda Fabia 2011/12 1.6 tdi 4cilindri 105 cp,3650.0,229000.0,Diesel,2011.0
2107,Renault,Austral,Renault Austral MHEV 160 Iconic Esprite Alpine,1333.0,160.0,Renault Austral ALPINE E-tech 200 cp Hybrid,38637.64,811.0,Hibrid,2023.0
2108,Toyota,RAV4,Toyota RAV4 2.0 D-4D 2WD Executive,1998.0,124.0,Camera marsarier /LED /Navigatie /Camera /Keyless,12350.0,233000.0,Diesel,2015.0
2109,BMW,i3,BMW i3,,,,12490.0,60000.0,Electric,2018.0
2110,Ford,S-Max,Ford S-Max 2.0 EcoBlue Allrad Aut. Business,1998.0,190.0,Ford S-max 2.0 Diesel Automat 190Cp 4x4 KeyFree,15500.0,170596.0,Diesel,2019.0
2111,Toyota,RAV4,Toyota RAV4 2.5 VVT-i HSD 4x4 Executive,2494.0,155.0,Hybrid - Posibilitate Rate Avans 0 - Garantie 12 Luni - IMPECABILA,19490.0,170000.0,Hibrid,2016.0
2112,BMW,Seria 7,BMW Seria 7 730d xDrive,2993.0,258.0,BMW Seria 7 - 730d xDrive FaceLift,16499.0,242000.0,Diesel,2015.0
2113,Peugeot,207,Peugeot 207,1360.0,90.0,"Pejout 207 recent adus din germania motor 1,4 benzina",2300.0,120000.0,Benzina,2008.0
2114,Opel,Astra,Opel Astra 1.0 Turbo Start/Stop 120 Jahre,999.0,105.0,OPEL ASTRA K 120 EDITION 1.0 Turbo 105 CP 2020 Euro 6,8250.0,138000.0,Benzina,2020.0
2115,Volkswagen,Passat CC,Volkswagen Passat CC 2.0 TDI DSG BMT,1968.0,150.0,Stare perfecta .,12000.0,264000.0,Diesel,2016.0
2116,Peugeot,3008,Peugeot 3008 THP 165 EAT6 Stop & Start Crossway,1598.0,165.0,1.6 THP 165 CP EAT6 Stop&Start CROSSWAY,16950.0,102500.0,Benzina,2017.0
2117,BMW,Seria 5,BMW Seria 5 520d xDrive Aut. M Sport Edition,,,,38989.83,104063.0,Diesel,2021.0
2118,Land Rover,Range Rover Vogue,Land Rover Range Rover Vogue,4999.0,510.0,Range Rover Supercharged 510CP,20000.0,230000.0,Benzina,2016.0
2119,Mercedes-Benz,GLE,Mercedes-Benz GLE 450 d 4Matic 9G-TRONIC AMG Line Advanced Plus,2989.0,367.0,GLE 450 d 4Matic AMG Line/Panorama/Night/Memory,102837.9,12700.0,Diesel,2024.0
2120,BMW,Seria 5,BMW Seria 5,1998.0,184.0,BMW 530e PLU-IN HYbrid/Line Assist/Navi/Apple Car Play/Stoc/TVA inclus,23999.0,89000.0,Hibrid Plug-In,2020.0
2121,BMW,X6,BMW X6 xDrive30d M Sport,2993.0,298.0,M-PAKET PRO / Panorama / Harman&Kardon / Grila iluminată / 2025,82000.0,18000.0,Diesel,2024.0
2122,Fiat,500,Fiat 500 1.0 GSE Hybrid Cult,999.0,70.0,FIAT 500 Hybrid/Import recent/STOC/Tva inclus,9499.0,38000.0,Benzina,2020.0
2123,Audi,A5,Audi A5 Cabrio 2.0 TDI DPF,1968.0,177.0,AUDI A5 2.0TDi-177cp/Cabrio/Carte Service/Full,9999.0,176000.0,Diesel,2012.0
2124,Mercedes-Benz,S,Mercedes-Benz S 63 AMG Coupe AMG Speedshift MCT Edition 1,5461.0,585.0,Mercedes Benz S63AMG 4Matic Coupe/Burmester/Head-up/Soft Close/Stoc,57999.0,139000.0,Benzina,2016.0
2125,Porsche,Cayenne,Porsche Cayenne Turbo,3996.0,550.0,PORSCHE CAYENNE TURBO - 550CP/Tva inclus/Plafon Sticla/Stoc/Garanție,74999.0,88000.0,Benzina,2019.0
2126,Mercedes-Benz,S,Mercedes-Benz S 500 4MATIC MHEV Long Aut.,2999.0,435.0,MERCEDES BENZ S500 4MATIC LONG/Plafon Sticla/Burmester Surround/STOC,89999.0,46000.0,Benzina,2022.0
2127,Maserati,Levante,Maserati Levante,2979.0,350.0,MASERATI LEVANTE/3.0I - 350CP/Keylles/Suspensie/Soft-close/Stoc/TVA,44999.0,74000.0,Benzina,2021.0
2128,MG,ZS HEV,MG ZS HEV,1498.0,197.0,Hybrid+ 1.5 GSI AT Excite,24748.13,1.0,Hibrid,2025.0
2129,Peugeot,Expert,Peugeot Expert,1997.0,163.0,L2H1/ Garantie 12 luni,9250.0,196000.0,Diesel,2012.0
2130,BMW,X5,BMW X5 xDrive25d,1995.0,231.0,2020 2.0D E6 GARANTIE 12 LUNI Rate Avans 0 Doar cu Buletinul,43590.0,106000.0,Diesel,2020.0
2131,Renault,Clio,Renault Clio,1461.0,90.0,2016 1.5D E6 GARANTIE 12 LUNI Rate Avans 0 Doar cu Buletinul,7290.0,191000.0,Diesel,2016.0
2132,MG,MG3,MG MG3,1498.0,114.0,MG3 ICE 5 usi Explore 1.5L MT Silver,17290.9,3000.0,Benzina,2024.0
2133,Jaguar,F-Pace,Jaguar F-Pace P250 AWD R-Dynamic SE,1997.0,250.0,Jaguar F-PACE R-Dynamic SE 2.0 I4 250CP AWD Auto 2023,71475.91,2400.0,Benzina,2023.0
2134,Audi,SQ5,Audi SQ5 3.0 TFSI quattro tiptronic,2995.0,354.0,Audi SQ5 3.0 TFSI quattro /B&O/Head Up/Carbon/Panoramic,23500.0,196000.0,Benzina,2017.0
2135,Mercedes-Benz,G,Mercedes-Benz G AMG 63 SW Long Aut.,3982.0,585.0,Mercedes-Benz G63 AMG Hofele 800 CP,229000.0,33300.0,Benzina,2021.0
2136,Audi,A6,Audi A6 2.0 TDI DPF Multitronic,1968.0,170.0,Audi A6C6 /2.0 TDI / 170 CP / EURO 5,6400.0,256737.0,Diesel,2010.0
2137,Skoda,Superb,Skoda Superb 1.5 TSI DSG Ambition,1498.0,150.0,Automat - Posibilitate Rate Avans 0 - Garantie 12 Luni - IMPECABILA,19490.0,160000.0,Benzina,2022.0
2138,BMW,Seria 4,BMW Seria 4 420d xDrive Gran Coupe M Sport,1995.0,190.0,BMW 420D Xdrive GrandCoupe,42604.1,99103.0,Diesel,2023.0
2139,Volvo,XC 60,Volvo XC 60 D4 AWD Geartronic Summum,2400.0,190.0,"Garantie, Revizie Gratuita, Creditare, Leasing, Rate Fixe, 4X4",17490.0,198600.0,Diesel,2016.0
2140,Nissan,Qashqai,Nissan Qashqai 1.3 DIG-T MHEV Xtronic N-Design,1332.0,158.0,1.33 benzina Hibrid ~Automata ~Posibilitate vanzare si in RATE Tva 21%,17989.94,174000.0,Benzina,2023.0
2141,Audi,A4,Audi A4 30 TDI S tronic MHEV Advanced,1968.0,136.0,Audi A4 Avant 30tdi 136 cp Business Line S tronic,24911.77,81074.0,Diesel,2021.0
2142,Renault,Megane,Renault Megane Grandtour BLUE dCi 115 EDC BUSINESS EDITION,1461.0,115.0,Imp.Germania Facelift 2022 Automat FaruriLed Diesel 116cp Tva Garantie,14224.76,112700.0,Diesel,2022.0
2143,BMW,Seria 6,BMW Seria 6 640d xDrive Gran Coupe M Sport Edition,2993.0,313.0,M Paket // Individual // H & K,25500.0,206000.0,Diesel,2016.0
2144,BMW,X4,BMW X4,1995.0,190.0,"Webasto, Încalzire în volan",18500.0,200000.0,Diesel,2016.0
2145,Skoda,Octavia,Skoda Octavia Combi 2.0 TDI DSG Style,1968.0,150.0,Automata - Posibilitate Rate Avans 0 - Garantie 12 Luni - IMPECABILA,16990.0,170000.0,Diesel,2022.0
2146,BMW,Seria 7,BMW Seria 7 745e AT PHEV,2998.0,394.0,Bmw 745E Plug in Hybrid Soft close Faruri laser 35252+tva,39930.0,145000.0,Hibrid Plug-In,2019.0
2147,Land Rover,Range Rover Velar,Land Rover Range Rover Velar,1997.0,204.0,Range Rover VELAR D200 S 2026MY,73214.68,1.0,Diesel,2025.0
2148,Skoda,Octavia,Skoda Octavia 1.6 TDI Classic DSG,,,,6990.0,178000.0,Diesel,2011.0
2149,Renault,Arkana,Renault Arkana E-TECH 145 Evolution,,,,19827.73,81849.0,Hibrid,2022.0
2150,Skoda,Superb,Skoda Superb Combi 2.0 TDI DSG 4X4 Selection,1968.0,194.0,Finantare - Rate fixe fara avans!,18490.0,212000.0,Diesel,2020.0
2151,Volkswagen,Passat,Volkswagen Passat 2.0 TDI BlueMotion Tehnology Highline DSG,,,,6990.0,284165.0,Diesel,2011.0
2152,BMW,X5,BMW X5 xDrive30d,2993.0,258.0,BMW X5 F15 30d xDrive,24990.0,268559.0,Diesel,2017.0
2153,Hyundai,i30,Hyundai i30,,,,14489.99,93762.0,Diesel,2021.0
2154,Mercedes-Benz,E,Mercedes-Benz E 200 9G-TRONIC Avantgarde,1991.0,197.0,/ Tva Deductibil / GARANTIE 12 LUNI / Finantare,34800.0,117305.0,Benzina,2021.0
2155,Ford,Mondeo,Ford Mondeo 2.0 TDCi Aut. AWD Titanium,1997.0,190.0,Automat - Posibilitate Rate Avans 0 - Garantie 12 Luni - IMPECABILA,15990.0,130000.0,Diesel,2021.0
2156,Mercedes-Benz,GLE,Mercedes-Benz GLE 350 de 4Matic 9G-TRONIC AMG Line,1950.0,319.0,LED/AMG/Burmester/Trapa/Plug-In/Camera 360/Leasing-Rate FARA AVANS,47950.0,188995.0,Hibrid Plug-In,2020.0
2157,Hyundai,IONIQ,Hyundai IONIQ Hybrid 141CP Exclusive,1580.0,105.0,"Garantie 12 luni, 1.6 Hybrid, Asistenta franare / banda, Camera, Navi",14000.0,63917.0,Hibrid,2017.0
2158,Mercedes-Benz,CLE,Mercedes-Benz CLE 220 d Coupe 9G-TRONIC Edition AMG Line,1993.0,197.0,CLE 220 d AMG Line Advanced Plus/Panorama/Pachet iarna,60487.9,20700.0,Diesel,2024.0
2159,Skoda,Kodiaq,Skoda Kodiaq 2.0 TDI 4X4 DSG Style,1968.0,150.0,2.0TDI 4X4 STYLE 7Locuri Pano KeylessE FullLED Camera Bicolor GARANTIE,23980.0,179000.0,Diesel,2018.0
2160,Mercedes-Benz,E,Mercedes-Benz E 350 CGI BlueEfficiency Aut.,3498.0,292.0,Mercedes E 350cgi 292cp,8499.0,245675.0,Benzina,2009.0
2161,Skoda,Kodiaq,Skoda Kodiaq 2.0 TDI 4X4 DSG Laurin & Klement,1968.0,200.0,Skoda Kodiaq L&K 2021 2.0 tdi 200 hp Dsg 4x4,29900.0,146000.0,Diesel,2021.0
2162,Hyundai,Tucson,Hyundai Tucson 1.6 CRDi 48V-Hybrid 2WD DCT N Line,,,,25397.9,137638.0,Diesel,2022.0
2163,BMW,Seria 5,BMW Seria 5 520d AT,1995.0,190.0,Tva deductibil / Garantie inclusa / Rulaj Certificat,23375.99,173550.0,Diesel,2019.0
2164,BMW,Seria 3,BMW Seria 3,,,,26950.0,104626.0,Benzina,2020.0
2165,Opel,Astra,Opel Astra,1598.0,116.0,Opel Astra HATCHBACK 1.6 Benzină – 2012,3700.0,323000.0,Benzina,2012.0
2166,Renault,Megane,Renault Megane TCe 140 EDC GPF Intens,1332.0,140.0,New Model - Posibilitate Rate Avans 0 - Garantie 12 Luni - IMPECABILA,12990.0,130000.0,Benzina,2020.0
2167,Mercedes-Benz,GLB,Mercedes-Benz GLB 200 d 4MATIC Aut.,1950.0,150.0,GLB 200 d 4 Matic AMG Premium/MBUX Navi/MBEAM LED/PANO/Confort,47177.9,18900.0,Diesel,2023.0
2168,Audi,A3,Audi A3 35 TFSI cylinder on demand Limousine S tronic sport,1498.0,150.0,Audi A3 35 TFSI S-tronic Sport-Line 150 CP DSG,17299.0,133110.0,Benzina,2017.0
2169,Volkswagen,Golf,Volkswagen Golf 2.0 TSI DSG R,,,,26000.0,210000.0,Benzina,2017.0
2170,Porsche,Cayenne,Porsche Cayenne 3.0 L,2967.0,262.0,Porsche Cayenne 2016 - 3.0 Diesel 262 cp,27000.0,215000.0,Diesel,2016.0
2171,Dacia,Duster,Dacia Duster 1.5 Blue dCi 4WD SL BlueLine,1461.0,115.0,"RATE, Fara Dobanda,4x4,Euro6,AC,138000km",9900.0,138000.0,Diesel,2016.0
2172,Mercedes-Benz,C,Mercedes-Benz C 400 4MATIC Aut.,2996.0,333.0,Mercedes Benz -C400- 4Matic -AMG,27850.0,169400.0,Benzina,2017.0
2173,Land Rover,Range Rover Evoque,Land Rover Range Rover Evoque,1997.0,163.0,Range Rover Evoque CITY EDITION D165 S 2025,57452.01,1.0,Diesel,2025.0
2174,Mazda,MX-30,Mazda MX-30 e-Skyactiv EV Prime-Line,,,,17666.0,17500.0,Electric,2023.0
2175,BMW,X5,BMW X5 xDrive30d AT MHEV,2993.0,286.0,BMW X5 xDrive 30d xLine,50738.65,93718.0,Diesel,2020.0
2176,Citroën,C5 Aircross,Citroën C5 Aircross 2.0 BlueHDi S&S EAT8 Shine,1997.0,177.0,Oferta - auto ideal de familie !!! Citroen C5 Aircross,19650.0,106000.0,Diesel,2020.0
2177,Mercedes-Benz,Vito,Mercedes-Benz Vito,2143.0,95.0,Mercedes-Benz Vito 2.2CDI 110CDI BlueEFFICIENCY 6+1 COMFORT PLUS,5149.0,302236.0,Diesel,2011.0
2178,Jeep,Grand Cherokee,Jeep Grand Cherokee 3.0 TD AT Trailhawk,2987.0,250.0,"135.000 km, toate reviziile la reprezentanta, fara nici o problema.",18900.0,135000.0,Diesel,2017.0
2179,BMW,Seria 7,BMW Seria 7 730d Edition Exclusive,2993.0,258.0,BMW 730d/SoftClose/Head-up/Navi/Piele/Bussines,14990.0,304164.0,Diesel,2012.0
2180,Kia,Ceed,Kia Ceed 1.0 T-GDI Best,998.0,120.0,Kia Ceed 2020 - Best plus opționale,13800.0,87000.0,Benzina,2020.0
2181,Volvo,XC 40,Volvo XC 40,1477.0,132.0,Volvo XC 40 2023 - via workleto.com,39998.99,28740.0,Hibrid,2023.0
2182,Mercedes-Benz,Viano,Mercedes-Benz Viano 3.0 CDI DPF lang Automatik Trend Edition,2987.0,224.0,"Mercedes-Benz Viano 3.0 V6 224 CP Automat (W639, facelift 2011)",15649.0,382140.0,Diesel,2012.0
2183,Mercedes-Benz,GLE,Mercedes-Benz GLE,,,,39990.0,128000.0,Benzina,2020.0
2184,Skoda,Superb,Skoda Superb Combi 2.0 TDI 4x4 DSG Premium Edition,1968.0,200.0,GARANȚIE 2 ANI inclusă în preț – Posibilitate CREDIT/LEASING,19850.0,190411.0,Diesel,2020.0
2185,Porsche,Cayenne Coupe,Porsche Cayenne Coupe,,,,58900.0,92251.0,Benzina,2019.0
2186,Audi,A7,Audi A7 3.0 TDI Multitronic,2967.0,204.0,"Audi A7, unic proprietar in Romania",10900.0,310000.0,Diesel,2014.0
2187,Ford,Focus,Ford Focus 1.5 EcoBlue Titanium Business,1499.0,120.0,New Model - Posibilitate Rate Avans 0 - Garantie 12 Luni - IMPECABILA,10989.99,120000.0,Diesel,2021.0
2188,Mercedes-Benz,A,Mercedes-Benz A 180 MHEV 7G-DCT,1332.0,136.0,"Mercedes-Benz A-class (W177, facelift 2023) A 180 (136 Hp) Mild Hybrid",26149.0,21821.0,Benzina,2023.0
2189,Aixam,Coupe,Aixam Coupe,,,,8900.0,20700.0,Electric,2022.0
2190,Nissan,Qashqai,Nissan Qashqai 1.3 DIG-T DCT TEKNA,1332.0,160.0,GARANȚIE 2 ANI inclusă în preț – Posibilitate CREDIT/LEASING,16450.0,166945.0,Benzina,2019.0
2191,Porsche,911,Porsche 911,2981.0,450.0,Porsche 911 Carrera 4S,129900.0,24300.0,Benzina,2021.0
2192,Mercedes-Benz,Vito,Mercedes-Benz Vito 110 CDI Lang Mixto,2143.0,95.0,2010 ~ Germania ~ RAR Efectuat ~ AC ~ Oglinzi Electrice ~ 3 Locuri,5600.0,243247.0,Diesel,2010.0
2193,BMW,X5 M,BMW X5 M Standard,4395.0,600.0,BMW X5 Competition First Edition 1/250,88000.0,48600.0,Benzina,2021.0
2194,Mercedes-Benz,E,Mercedes-Benz E,1950.0,194.0,Mercedes Benz E220d 4M,43500.0,108000.0,Diesel,2020.0
2195,Mercedes-Benz,E,Mercedes-Benz E,2999.0,381.0,Mercedes-Benz E 450 4MATIC Limuzina,81662.9,26403.0,Benzina,2024.0
2196,Toyota,Corolla,Toyota Corolla 1.8 HSD Business,,,,18810.66,113373.0,Hibrid,2019.0
2197,Mercedes-Benz,GLE,Mercedes-Benz GLE AMG 53 MHEV 4MATIC+,2999.0,435.0,Mercedes-Benz GLE Coupe AMG 53 MHEV 4MATIC+,107499.0,22000.0,Benzina,2023.0
2198,Land Rover,Range Rover Evoque,Land Rover Range Rover Evoque 2.0 D200 MHEV Autobiography,1999.0,204.0,RANGE ROVER EVOQUE Autobiography 2.0D 204 CP AWD Auto MHEV 2025,65907.49,1.0,Diesel,2023.0
2199,Nissan,Qashqai,Nissan Qashqai,1461.0,106.0,Livrare gratuita/ Posibilitate finantare/ Rate fixe cu avans 0,7499.0,221000.0,Diesel,2010.0
2200,Ford,Focus,Ford Focus 1.0 EcoBoost Start-Stopp-System TITANIUM,998.0,125.0,2013 ~ Import Germania ~ Euro 5 ~ 1.0 EcoBoost Econetic Technology,4550.0,186178.0,Benzina,2013.0
2201,Mercedes-Benz,GLC,Mercedes-Benz GLC 220 d 4Matic 9G-TRONIC,1950.0,194.0,GLC 220 d 4Matic Distronic+MBUX Naci Plus+Park,35077.9,103500.0,Diesel,2019.0
2202,BMW,Seria 5,BMW Seria 5 520d AT MHEV,,,,26499.0,136328.0,Diesel,2020.0
2203,Volkswagen,Tiguan,Volkswagen Tiguan 2.0 TDI 4Mot DSG Highline,1968.0,150.0,Pachet R-Line/Stare perfecta/Revizie motor si cutie efectuate recent,20900.0,184000.0,Diesel,2019.0
2204,Ford,Mondeo,Ford Mondeo 1.6 TDCi ECOnetic Start-Stopp Ambiente,1560.0,115.0,"Unic proprietar din 2017,adusă personal în țară,consum foarte mic",5300.0,318700.0,Diesel,2012.0
2205,Nissan,Qashqai,Nissan Qashqai 1.5 DCI DPF visia ECO,1461.0,110.0,Primul Proproetar de Noua Rate fixe Livrare Gratuita AN 2015,7990.0,203000.0,Diesel,2013.0
2206,Audi,Q5,Audi Q5 2.0 TDI Quattro S tronic,1968.0,190.0,Primul proprietar,23000.0,200000.0,Diesel,2018.0
